address,county,state,zip,name,status,units,style,star,market,yearbuilt,yearreno,buildings,zoning,stories,vacancyrate,avgsf,avgasking,avgeffective,renttype
6100 Strathmore Rd,Chesterfield,VA,23234,Parkway Gardens,Existing,44,Garden,2,Richmond,1965,,11,,1,3.91,675,634,631,Market
14701 Swift Ln,Chesterfield,VA,23114-7000,The Grove at Swift Creek Apartments,Existing,240,Garden,3,Richmond,2000,,11,"N/Av, Virginia",3,2.86,1116,1562,1562,Market
2301 Thoroughbred Cir,Chesterfield,VA,23113,Trophy Club at Bellgrade Apartments,Existing,248,Garden,3,Richmond,1997,,13,RMF,3,2.76,912,1640,1640,Market
2024 Timbers Hill Rd,Chesterfield,VA,23235,The Timbers Apartments,Existing,240,Garden,3,Richmond,1988,,17,"R7, Virginia",3,2.85,970,1593,1586,Market
7660 Van Hoy Dr,Chesterfield,VA,23235-6457,Cross Creek Apartments,Existing,225,Garden,3,Richmond,1991,,12,R9,2,,949,1193,1190,Market
5500 Vinings Dr,Chesterfield,VA,23234,The Vinings at Iron Bridge,Existing,257,Garden,3,Richmond,1999,,13,O2,3,3.17,950,1459,1459,Market
400 Water Pointe Ln,Chesterfield,VA,23112,Waterpointe,Existing,51,Garden,3,Richmond,2001,,6,C2,3,,1222,1125,1122,Market
7001 Wentworth St,Chesterfield,VA,23237-1503,Lafayette Townhouse Apartments,Existing,48,Garden,3,Richmond,1956,,7,R7,2,,800,733,731,Market
5314 Whetstone Rd,Chesterfield,VA,23234,Meadowbrook Apartments,Existing,493,Garden,2,Richmond,1973,,54,,2,5.13,1057,1484,1474,Market
6500 Woodlake Village Ct,Chesterfield,VA,23112,Woodlake Village,Existing,241,Garden,3,Richmond,1989,,19,O2,3,,1068,1180,1177,Market
3101 Danzler Cir,Chesterfield,VA,23224,,Existing,18,Garden,2,Richmond,1969,,9,R7,2,3.91,,,,Market
3524 Festival Park Plz,Chesterfield,VA,23831-4449,Park at Village Green,Existing,65,,3,Richmond,,,4,C3,2,,1047,1337,1337,Market
6745 Jefferson Davis Hwy,Chesterfield,VA,23237-1218,The Maisonettes Apartments,Existing,47,Garden,3,Richmond,,,20,MH1,2,2.82,678,925,920,Market
9701 Jefferson Davis Hwy,Chesterfield,VA,23237-4666,Holiday Mobile Home Park,Existing,140,,2,Richmond,1967,,,MH1,1,3.91,498,,,Market
3201 Lady Marian Ln,Chesterfield,VA,23113,,Existing,1,Low-Rise,2,Richmond,1989,,1,R40,2,3.79,4139,,,Market
3145 Parkdale Rd,Chesterfield,VA,23234-6357,,Existing,12,Low-Rise,2,Richmond,1956,,3,R7,1,3.91,,,,Market
5300 Pippin Ln,Chesterfield,VA,23234,Kenswick Apartments,Existing,56,Garden,3,Richmond,,,7,R7,2,3.91,720,,,Market
5400 Remuda Dr,Chesterfield,VA,23234,,Existing,26,,2,Richmond,1963,,,R7,2,3.91,,,,Market
12020 Winfree St,Chesterfield,VA,23831-4937,,Existing,4,Low-Rise,2,Richmond,,,1,R7,2,3.91,600,,,Market
